id,marca,modelo,plataforma_compra,calificacion,sentimiento,aspecto_principal,comentario
815,Apple,iPhone 16e,Amazon,5,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
816,Apple,iPhone 14,Tienda Oficial Apple,2,Negativo,pantalla,El equipo se calienta demasiado durante el uso
817,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
818,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
819,Samsung,Galaxy A35,Amazon,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
820,Samsung,Galaxy A55,Mercado Libre,4,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
821,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
822,Huawei,Nova 12,Amazon,2,Negativo,almacenamiento,El rendimiento es lento para algunas aplicaciones
823,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,cámara,"Gran relación calidad precio, recomendado"
824,Apple,iPhone 16e,Mercado Libre,4,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
825,Apple,iPhone 15,Tienda Oficial Apple,3,Neutral,batería,Es un equipo normal para el uso diario
826,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
827,Samsung,Galaxy A35,Tienda Oficial Samsung,1,Negativo,servicio al cliente,La entrega se demoró demasiado y llegó fuera de la fecha prometida
828,Xiaomi,Poco X6,Mercado Libre,4,Positivo,precio,Muy buena cámara y excelente rendimiento
829,Motorola,Moto G84,Tienda Oficial Motorola,2,Negativo,rendimiento,El equipo se calienta demasiado durante el uso
830,Samsung,Galaxy S24,Amazon,3,Neutral,pantalla,Tiene ventajas y desventajas según el uso
831,Huawei,P60,Tienda Oficial Huawei,4,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
832,Motorola,Moto G84,Tienda Oficial Motorola,5,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
833,Samsung,Galaxy S24,Amazon,2,Negativo,rendimiento,La cámara no cumple con lo prometido
834,Huawei,Nova 12,Amazon,4,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
835,Apple,iPhone 14,Tienda Oficial Apple,4,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
836,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,pantalla,El producto llegó correctamente aunque tardó algunos días
837,Samsung,Galaxy S24,Amazon,3,Neutral,batería,La batería tiene un rendimiento promedio
838,Huawei,P60,Amazon,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
839,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
840,Motorola,Moto G84,Amazon,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
841,Apple,iPhone 15,Mercado Libre,1,Negativo,batería,El rendimiento es lento para algunas aplicaciones
842,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
843,Huawei,P60,Amazon,4,Positivo,precio,Muy buena cámara y excelente rendimiento
844,Apple,iPhone 14,Amazon,4,Positivo,pantalla,"Gran relación calidad precio, recomendado"
845,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,4,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
846,Motorola,Moto G54,Mercado Libre,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
847,Apple,iPhone 14,Amazon,5,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
848,Samsung,Galaxy A55,Mercado Libre,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
849,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
850,Xiaomi,Poco X6,Amazon,5,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
851,Apple,iPhone 14,Amazon,4,Positivo,cámara,"Gran relación calidad precio, recomendado"
852,Huawei,Mate 50,Tienda Oficial Huawei,2,Negativo,precio,La atención al cliente fue deficiente y la entrega tardó mucho
853,Apple,iPhone 14,Mercado Libre,4,Positivo,almacenamiento,Muy satisfecho con la compra y el tiempo de entrega
854,Motorola,Moto G54,Amazon,5,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
855,Huawei,Nova 12,Mercado Libre,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
856,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
857,Motorola,Moto G84,Tienda Oficial Motorola,2,Negativo,precio,La cámara no cumple con lo prometido
858,Motorola,Moto G54,Amazon,4,Positivo,cámara,El servicio fue excelente y recibí el producto rápidamente
859,Apple,iPhone 15,Mercado Libre,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
860,Motorola,Edge 50,Mercado Libre,5,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
861,Xiaomi,Poco X6,Mercado Libre,5,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
862,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,rendimiento,El equipo se calienta demasiado durante el uso
863,Samsung,Galaxy A55,Mercado Libre,2,Negativo,cámara,El equipo se calienta demasiado durante el uso
864,Apple,iPhone 14,Amazon,3,Neutral,precio,La batería tiene un rendimiento promedio
865,Xiaomi,Poco X6,Mercado Libre,5,Positivo,batería,Superó mis expectativas en rendimiento y batería
866,Motorola,Moto G54,Amazon,5,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
867,Motorola,Moto G84,Mercado Libre,1,Negativo,entrega,La entrega se demoró demasiado y llegó fuera de la fecha prometida
868,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,3,Neutral,precio,El celular cumple con lo esperado
869,Huawei,P60,Tienda Oficial Huawei,5,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
870,Huawei,P60,Amazon,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
871,Samsung,Galaxy S24,Mercado Libre,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
872,Samsung,Galaxy A55,Tienda Oficial Samsung,3,Neutral,servicio al cliente,El celular cumple con lo esperado
873,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,rendimiento,El celular cumple con lo esperado
874,Samsung,Galaxy S24,Amazon,2,Negativo,precio,El rendimiento es lento para algunas aplicaciones
875,Motorola,Edge 50,Amazon,5,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
876,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
877,Samsung,Galaxy S24,Tienda Oficial Samsung,1,Negativo,precio,Presentó fallas después de pocos días
878,Motorola,Edge 50,Amazon,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
879,Huawei,P60,Mercado Libre,4,Positivo,precio,Superó mis expectativas en rendimiento y batería
880,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
881,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
882,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,batería,Superó mis expectativas en rendimiento y batería
883,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,precio,Tiene ventajas y desventajas según el uso
884,Motorola,Moto G84,Amazon,4,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
885,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
886,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,batería,Muy buena cámara y excelente rendimiento
887,Motorola,Moto G84,Tienda Oficial Motorola,1,Negativo,cámara,El equipo se calienta demasiado durante el uso
888,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
889,Huawei,P60,Tienda Oficial Huawei,3,Neutral,rendimiento,El producto llegó correctamente aunque tardó algunos días
890,Huawei,Nova 12,Tienda Oficial Huawei,1,Negativo,batería,El equipo se calienta demasiado durante el uso
891,Motorola,Moto G84,Amazon,3,Neutral,cámara,Tiene ventajas y desventajas según el uso
892,Huawei,Mate 50,Amazon,4,Positivo,cámara,Superó mis expectativas en rendimiento y batería
893,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,cámara,Muy buena cámara y excelente rendimiento
894,Apple,iPhone 15,Mercado Libre,1,Negativo,almacenamiento,La entrega se demoró demasiado y llegó fuera de la fecha prometida
895,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
896,Huawei,P60,Tienda Oficial Huawei,3,Neutral,rendimiento,El celular cumple con lo esperado
897,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
898,Apple,iPhone 16e,Amazon,5,Positivo,entrega,Muy buena cámara y excelente rendimiento
899,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
900,Xiaomi,Redmi Note 14,Mercado Libre,2,Negativo,almacenamiento,Mala relación calidad precio
901,Apple,iPhone 16e,Mercado Libre,3,Neutral,almacenamiento,Tiene ventajas y desventajas según el uso
902,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
903,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
904,Huawei,Mate 50,Tienda Oficial Huawei,4,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
905,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
906,Samsung,Galaxy S24,Amazon,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
907,Apple,iPhone 15,Tienda Oficial Apple,1,Negativo,almacenamiento,La atención al cliente fue deficiente y la entrega tardó mucho
908,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
909,Apple,iPhone 16e,Amazon,5,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
910,Motorola,Moto G54,Tienda Oficial Motorola,2,Negativo,pantalla,Mala relación calidad precio
911,Huawei,Nova 12,Mercado Libre,5,Positivo,entrega,Superó mis expectativas en rendimiento y batería
912,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
913,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
914,Apple,iPhone 16e,Mercado Libre,4,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
915,Apple,iPhone 16e,Tienda Oficial Apple,1,Negativo,servicio al cliente,El equipo se calienta demasiado durante el uso
916,Motorola,Moto G54,Mercado Libre,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
917,Xiaomi,Redmi Note 14,Amazon,3,Neutral,rendimiento,La cámara es aceptable para su precio
918,Motorola,Moto G84,Tienda Oficial Motorola,1,Negativo,rendimiento,La entrega se demoró demasiado y llegó fuera de la fecha prometida
919,Huawei,P60,Tienda Oficial Huawei,2,Negativo,servicio al cliente,El equipo se calienta demasiado durante el uso
920,Motorola,Moto G84,Mercado Libre,5,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
921,Xiaomi,Redmi Note 14,Mercado Libre,1,Negativo,pantalla,La cámara no cumple con lo prometido
922,Huawei,P60,Tienda Oficial Huawei,3,Neutral,servicio al cliente,La cámara es aceptable para su precio
923,Huawei,Mate 50,Mercado Libre,3,Neutral,batería,El producto llegó correctamente aunque tardó algunos días
924,Xiaomi,Redmi Note 14,Amazon,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
925,Motorola,Moto G84,Mercado Libre,4,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
926,Huawei,Nova 12,Amazon,4,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
927,Apple,iPhone 14,Mercado Libre,4,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
928,Motorola,Moto G84,Tienda Oficial Motorola,1,Negativo,almacenamiento,La batería dura muy poco
929,Apple,iPhone 15,Tienda Oficial Apple,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
930,Motorola,Moto G84,Mercado Libre,3,Neutral,cámara,La batería tiene un rendimiento promedio
931,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,cámara,La atención al cliente fue deficiente y la entrega tardó mucho
932,Samsung,Galaxy A55,Mercado Libre,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
933,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
934,Motorola,Edge 50,Tienda Oficial Motorola,5,Positivo,cámara,El servicio fue excelente y recibí el producto rápidamente
935,Apple,iPhone 16e,Tienda Oficial Apple,5,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
936,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,batería,Es un equipo normal para el uso diario
937,Samsung,Galaxy A35,Amazon,5,Positivo,entrega,Superó mis expectativas en rendimiento y batería
938,Samsung,Galaxy A35,Mercado Libre,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
939,Samsung,Galaxy A55,Tienda Oficial Samsung,3,Neutral,pantalla,La batería tiene un rendimiento promedio
940,Motorola,Edge 50,Amazon,5,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
941,Apple,iPhone 14,Amazon,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
942,Samsung,Galaxy S24,Mercado Libre,4,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
943,Apple,iPhone 16e,Tienda Oficial Apple,5,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
944,Samsung,Galaxy A55,Tienda Oficial Samsung,2,Negativo,pantalla,Mala relación calidad precio
945,Apple,iPhone 14,Amazon,5,Positivo,precio,"Gran relación calidad precio, recomendado"
946,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
947,Samsung,Galaxy A35,Amazon,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
948,Motorola,Edge 50,Amazon,5,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
949,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,batería,La atención al cliente fue deficiente y la entrega tardó mucho
950,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,almacenamiento,Muy satisfecho con la compra y el tiempo de entrega
951,Apple,iPhone 15,Amazon,1,Negativo,almacenamiento,El rendimiento es lento para algunas aplicaciones
952,Xiaomi,Redmi Note 14,Amazon,4,Positivo,almacenamiento,Muy satisfecho con la compra y el tiempo de entrega
953,Xiaomi,Redmi Note 14,Mercado Libre,4,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
954,Apple,iPhone 16e,Tienda Oficial Apple,5,Positivo,entrega,Muy buena cámara y excelente rendimiento
955,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
956,Huawei,Mate 50,Amazon,5,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
957,Motorola,Moto G84,Amazon,1,Negativo,almacenamiento,La atención al cliente fue deficiente y la entrega tardó mucho
958,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
959,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
960,Motorola,Moto G54,Mercado Libre,4,Positivo,entrega,Superó mis expectativas en rendimiento y batería
961,Apple,iPhone 15,Mercado Libre,4,Positivo,pantalla,"Gran relación calidad precio, recomendado"
962,Xiaomi,Redmi Note 13,Amazon,1,Negativo,entrega,La atención al cliente fue deficiente y la entrega tardó mucho
963,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,servicio al cliente,La atención al cliente fue deficiente y la entrega tardó mucho
964,Samsung,Galaxy A35,Amazon,5,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
965,Xiaomi,Poco X6,Mercado Libre,1,Negativo,rendimiento,La cámara no cumple con lo prometido
966,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
967,Motorola,Edge 50,Amazon,5,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
968,Samsung,Galaxy A55,Mercado Libre,4,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
969,Samsung,Galaxy A35,Mercado Libre,4,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
970,Motorola,Moto G54,Amazon,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
971,Motorola,Moto G84,Tienda Oficial Motorola,1,Negativo,entrega,La batería dura muy poco
972,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
973,Apple,iPhone 14,Mercado Libre,3,Neutral,pantalla,La cámara es aceptable para su precio
974,Samsung,Galaxy S24,Mercado Libre,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
975,Huawei,Mate 50,Mercado Libre,3,Neutral,pantalla,La batería tiene un rendimiento promedio
976,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,servicio al cliente,Llegó antes de la fecha prometida y en perfectas condiciones
977,Apple,iPhone 16e,Amazon,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
978,Motorola,Moto G84,Mercado Libre,3,Neutral,entrega,La cámara es aceptable para su precio
979,Huawei,Nova 12,Amazon,5,Positivo,entrega,Muy buena cámara y excelente rendimiento
980,Apple,iPhone 16e,Mercado Libre,4,Positivo,cámara,Muy buena cámara y excelente rendimiento
981,Apple,iPhone 15,Mercado Libre,5,Positivo,entrega,Superó mis expectativas en rendimiento y batería
982,Huawei,Mate 50,Mercado Libre,2,Negativo,almacenamiento,La cámara no cumple con lo prometido
983,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,3,Neutral,almacenamiento,Es un equipo normal para el uso diario
984,Samsung,Galaxy S24,Amazon,4,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
985,Apple,iPhone 16e,Mercado Libre,5,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
986,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
987,Xiaomi,Redmi Note 14,Amazon,4,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
988,Apple,iPhone 15,Amazon,5,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
989,Apple,iPhone 15,Amazon,4,Positivo,entrega,Superó mis expectativas en rendimiento y batería
990,Samsung,Galaxy A55,Mercado Libre,3,Neutral,servicio al cliente,Es un equipo normal para el uso diario
991,Huawei,Mate 50,Mercado Libre,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
992,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
993,Apple,iPhone 14,Tienda Oficial Apple,2,Negativo,precio,El rendimiento es lento para algunas aplicaciones
994,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,precio,"Gran relación calidad precio, recomendado"
995,Huawei,Nova 12,Mercado Libre,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
996,Motorola,Edge 50,Mercado Libre,3,Neutral,precio,La batería tiene un rendimiento promedio
997,Xiaomi,Poco X6,Tienda Oficial Xiaomi,2,Negativo,cámara,La cámara no cumple con lo prometido
998,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
999,Xiaomi,Redmi Note 13,Amazon,5,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
1000,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,entrega,"Gran relación calidad precio, recomendado"
1001,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
1002,Huawei,P60,Amazon,2,Negativo,servicio al cliente,La entrega se demoró demasiado y llegó fuera de la fecha prometida
1003,Samsung,Galaxy A35,Amazon,3,Neutral,batería,El producto llegó correctamente aunque tardó algunos días
1004,Samsung,Galaxy A55,Amazon,3,Neutral,pantalla,Es un equipo normal para el uso diario
1005,Motorola,Edge 50,Mercado Libre,1,Negativo,cámara,Mala relación calidad precio
1006,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,entrega,"Gran relación calidad precio, recomendado"
1007,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
1008,Motorola,Edge 50,Amazon,1,Negativo,entrega,La cámara no cumple con lo prometido
1009,Apple,iPhone 14,Mercado Libre,3,Neutral,precio,El celular cumple con lo esperado
1010,Apple,iPhone 15,Amazon,5,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
1011,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
1012,Apple,iPhone 14,Mercado Libre,2,Negativo,precio,La batería dura muy poco
1013,Motorola,Edge 50,Amazon,1,Negativo,servicio al cliente,La atención al cliente fue deficiente y la entrega tardó mucho
1014,Motorola,Edge 50,Amazon,3,Neutral,cámara,El celular cumple con lo esperado
1015,Huawei,P60,Tienda Oficial Huawei,2,Negativo,pantalla,El equipo se calienta demasiado durante el uso
1016,Samsung,Galaxy A35,Mercado Libre,1,Negativo,pantalla,La batería dura muy poco
1017,Huawei,Mate 50,Tienda Oficial Huawei,3,Neutral,almacenamiento,Es un equipo normal para el uso diario
1018,Apple,iPhone 16e,Tienda Oficial Apple,5,Positivo,precio,Superó mis expectativas en rendimiento y batería
1019,Samsung,Galaxy A55,Amazon,5,Positivo,batería,Superó mis expectativas en rendimiento y batería
1020,Xiaomi,Poco X6,Amazon,4,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
1021,Huawei,Mate 50,Tienda Oficial Huawei,5,Positivo,rendimiento,Muy satisfecho con la compra y el tiempo de entrega
1022,Samsung,Galaxy A55,Mercado Libre,5,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
1023,Apple,iPhone 15,Mercado Libre,2,Negativo,entrega,Presentó fallas después de pocos días
1024,Huawei,P60,Mercado Libre,2,Negativo,servicio al cliente,La cámara no cumple con lo prometido
1025,Xiaomi,Poco X6,Tienda Oficial Xiaomi,1,Negativo,pantalla,El equipo se calienta demasiado durante el uso
1026,Apple,iPhone 14,Tienda Oficial Apple,4,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
1027,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
1028,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
1029,Samsung,Galaxy S24,Amazon,4,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
1030,Huawei,P60,Tienda Oficial Huawei,5,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
1031,Motorola,Moto G54,Amazon,2,Negativo,servicio al cliente,La atención al cliente fue deficiente y la entrega tardó mucho
1032,Xiaomi,Poco X6,Tienda Oficial Xiaomi,2,Negativo,entrega,El equipo se calienta demasiado durante el uso
1033,Apple,iPhone 14,Mercado Libre,1,Negativo,cámara,La batería dura muy poco
1034,Huawei,Mate 50,Mercado Libre,1,Negativo,cámara,El equipo se calienta demasiado durante el uso
1035,Huawei,Mate 50,Amazon,3,Neutral,rendimiento,La batería tiene un rendimiento promedio
1036,Huawei,Nova 12,Tienda Oficial Huawei,3,Neutral,pantalla,El celular cumple con lo esperado
1037,Motorola,Moto G84,Tienda Oficial Motorola,1,Negativo,servicio al cliente,Mala relación calidad precio
1038,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,batería,La cámara es aceptable para su precio
1039,Apple,iPhone 15,Mercado Libre,4,Positivo,cámara,Muy buena cámara y excelente rendimiento
1040,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
1041,Apple,iPhone 16e,Tienda Oficial Apple,1,Negativo,precio,La batería dura muy poco
1042,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
1043,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
1044,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
1045,Samsung,Galaxy S24,Amazon,4,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
1046,Motorola,Edge 50,Amazon,3,Neutral,rendimiento,Tiene ventajas y desventajas según el uso
1047,Motorola,Edge 50,Amazon,5,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
1048,Samsung,Galaxy S24,Mercado Libre,1,Negativo,pantalla,La batería dura muy poco
1049,Apple,iPhone 14,Mercado Libre,3,Neutral,rendimiento,El producto llegó correctamente aunque tardó algunos días
1050,Huawei,P60,Tienda Oficial Huawei,2,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
1051,Apple,iPhone 16e,Tienda Oficial Apple,5,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
1052,Huawei,Mate 50,Mercado Libre,3,Neutral,precio,Es un equipo normal para el uso diario
1053,Motorola,Edge 50,Amazon,2,Negativo,precio,El equipo se calienta demasiado durante el uso
1054,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,pantalla,Es un equipo normal para el uso diario
1055,Samsung,Galaxy A35,Amazon,2,Negativo,entrega,El rendimiento es lento para algunas aplicaciones
1056,Huawei,Nova 12,Amazon,4,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
1057,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
1058,Motorola,Moto G84,Amazon,2,Negativo,almacenamiento,El equipo se calienta demasiado durante el uso
1059,Samsung,Galaxy A35,Amazon,5,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
1060,Motorola,Moto G54,Amazon,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
1061,Huawei,Mate 50,Amazon,1,Negativo,pantalla,La cámara no cumple con lo prometido
1062,Samsung,Galaxy A55,Tienda Oficial Samsung,2,Negativo,rendimiento,El equipo se calienta demasiado durante el uso
1063,Samsung,Galaxy A35,Mercado Libre,1,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
